"","mzmed","rtmed","FC","logFC","p.val.adj.DISEASE.CTR","threshold","FC.1","logFC.1","p.val.adj.TREATMENT.DISEASE","threshold.1","FC.combi","CTR","DISEASE","TREATMENT"
"M736T472",736.470400633713,472.479,-142.02579216013,-7.15000913952288,0.999999999953486,"FALSE",1114.31141944732,10.1219367673448,3.00373750641272e-05,"TRUE",158260.962060084,44256.3420431955,311.607781728109,347228.109568278
"M692T469",692.444457195173,469.046,-134.918712438721,-7.07594664532808,0.999999999953486,"FALSE",1127.62021973944,10.1390655373676,2.17803126692769e-05,"TRUE",152137.068167113,94143.4479304722,697.77902730306,786829.740097046
"M648T465",648.417924238347,465.035,-137.579511728576,-7.10412183039339,0.999999999953486,"FALSE",1078.60106131734,10.0749456432009,2.69797480518818e-05,"TRUE",148393.407365962,185312.939130511,1346.95156860352,1452823.3914388
"M399T475",399.266064454289,475.372,-124.342289603747,-6.95817323938569,0.999999999953486,"FALSE",1072.69702541225,10.0670269407592,1.20398860753915e-05,"TRUE",133381.604190888,126067.574288504,1013.87528483073,1087581.00217692
"M649T465",649.42124955004,465.041,-115.0380108566,-6.845966824975,0.999999999953486,"FALSE",897.787999028012,9.81023100126711,2.75408610277118e-05,"TRUE",103279.74557911,58230.3800833566,506.183822631836,454445.761260986
"M369T472_1",368.739518659192,472.167,-105.756905390621,-6.72460805687929,0.999999999953486,"FALSE",895.466508999613,9.80649566530957,1.5990988812176e-05,"TRUE",94701.7668727413,41988.2917861938,397.026479085286,355523.915206909
"M732T529",732.402028670595,529.426,-81.8565917607258,-6.35502669384204,0.999999999953486,"FALSE",824.597885692402,9.68754695186779,0.000498303021516493,"TRUE",67498.7724958806,6327.76647295271,77.3030776977539,63743.9544270833
"M604T460",604.391993711417,460.425,-88.607862390258,-6.46936281317299,0.999999999953486,"FALSE",743.521088169105,9.53822985117217,1.93648568388993e-05,"TRUE",65881.814264743,209484.482971191,2364.17488606771,1757813.88391113
"M347T469_1",346.726148472631,468.71,-82.9855268093174,-6.37478783832098,0.999999999953486,"FALSE",716.663445426778,9.48515195918275,1.19544235714412e-05,"TRUE",59472.6935637217,40572.0306527274,488.904899597168,350380.26983134
"M378T472",377.754495625712,472.473,-81.9197681014156,-6.35613972624809,0.999999999953486,"FALSE",654.682527585658,9.35465166602529,1.66922076318027e-05,"TRUE",53631.4408398657,52152.1040344238,636.624165852865,416786.718022664
